Product Label,Product Label
General Configuration,General Configuration
Enable Module,Enable Module
Page Display Label,Page Display Label
Sold Out,Sold Out
Enable,Enable
Label Position,Label Position
Label Image,Label Image
New,New
Sale,Sale
New Label,New Label
Sale Label,Sale Label
Use General Config,Use General Config
Product Page,Product Page
Product List Page,Product List Page
Right Top,Right Top
Left Top,Left Top
Right Bottom,Right Bottom
Left Bottom,Left Bottom
Out Of Stock,Out Of Stock
Select Label,Select Label
